iter,v_fun_0
0,-50.0
1,-35.81333333333333
2,-33.29609444444445
3,-31.8590239597308
4,-31.126751872752976
5,-30.743683388556697
6,-30.534271482380035
7,-30.42205328667392
8,-30.362693257287354
9,-30.33141016007738
10,-30.31498428256018
11,-30.306364859501468
12,-30.30184203174016
13,-30.299468544086924
14,-30.29822284874226
15,-30.29756903803084
16,-30.297225883589224
17,-30.29704578167101
18,-30.296951258574644
19,-30.296901650657613
20,-30.29687561550774
21,-30.296861951847347
22,-30.296854780958064
23,-30.29685101757429
24,-30.29684904249842
25,-30.296848005951542
